,species,tribe,subtribe,genus,Argentina,Belize,Bolivia,Brazil,Canada,CaymanIslands,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,French Guiana,Guadeloupe,Guatemala,Grenada,Guyana,Haiti,Honduras,Jamaica,Martinica,Mexico,Nicaragua,Panama,Paraguay,PuertoRico,Peru,Suriname,TrinidadTobago,Uruguay,USA,Venezuela,VirginIslands,act.di,act.noct,act.crep,hs.canopy,hs.floor,b.tsmbf,b.tsdbf,b.tsgss,b.mangrove,b.fgs,b.dxs,b.tscf,b.tgss,b.tcforest,b.tbmforest,b.montane,mh.flfs,mh.ab,mh.bwa,mh.tttr,mh.th,mh.tt,mh.cr,mh.ca,mh.fwsl,mh.ma,mh.ada,mh.oihd,exta,peri,intra,wild,semi.domestic,domestic,bites.man,bites.mammals,order.notes,seas.wint,seas.summ,lifespan,gonotrophic,cl.size,citations,labrum.length,Labrumepipharynx.length,labruml_wingl,A3_wingl,no.lat.teeth,no.ven.teeth,no.cib.teeth,dental.depth,wing.length,wingl_wingw,wing.width,A3,temp,temp.range,temp.var,rainfall,elevation,flii,wind.speed,canopy,ghm,tree.cover,crops.cover,grass.cover,shrub.cover,urban.cover,water.perm.cover,water.seas.cover,evi,ecoregion.breadth,synarthropy,max.shape,hypo.teeth
11,Brumptomyia beaupertuyi,Phlebotomini,Brumptomyiina,Brumptomyia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,armadillo,,,,,,1,0.2835,,,,,,2,,,,0.852,,20.32677612,14.13812256,0.575591377,235.5514467,1438,4973,0.06498088,13,0.447119474,92.6,0,0,7.4,0,0,0,4949.013043,1,,sabre,spiculate
12,Brumptomyia bragai,Phlebotomini,Brumptomyiina,Brumptomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,armadillo,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sabre,spiculate
13,Brumptomyia brumpti,Phlebotomini,Brumptomyiina,Brumptomyia,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,,,1,1,1,,1,armadillo,1,0,,,,22,0.24,,0.1,0.13,4,12,,0.07,2.45,3.1,,,24.93800728,17.72504204,3.559019725,127.0976512,352.8225806,3929.909091,0.815125115,6.338709677,0.59284991,21.90645161,7.938709677,23.08387097,6.496774194,38.6483871,1.222580645,0.741935484,3325.47216,8,50.77,sabre,spiculate
14,Brumptomyia cardosoi,Phlebotomini,Brumptomyiina,Brumptomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,armadillo,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sabre,spiculate
15,Brumptomyia carvalheiroi,Phlebotomini,Brumptomyiina,Brumptomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1,,1,1,,1,armadillo,1,0,,,,1,,,,,7,18,,,2.939,2.936063936,1.001,,19.93026123,16.57098389,4.188045585,121.8123883,844,7582,1.098265153,21,0.220962152,72,0,8.6,10.4,9,0,0,4266.730435,1,-37.23,sabre,spiculate
16,Brumptomyia cunhai,Phlebotomini,Brumptomyiina,Brumptomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,,1,armadillo,,,,,,6,,,,,,,,,,,,,22.51118513,17.09115165,3.90998895,82.7198284,424.1428571,3091,1.387074105,12.28571429,0.401791553,38.97142857,9.657142857,25.97142857,10.91428571,14.28571429,0,0,3728.319876,2,,sabre,spiculate
17,Brumptomyia devenanzii,Phlebotomini,Brumptomyiina,Brumptomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,armadillo,,,,,,1,0.2804,,,,,,,,,,1.0127,,,,,,,,,,,,,,,,,,,,,sabre,spiculate
18,Brumptomyia figueireidoi,Phlebotomini,Brumptomyiina,Brumptomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,armadillo,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sabre,spiculate
19,Brumptomyia galindoi,Phlebotomini,Brumptomyiina,Brumptomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,,,,,,,,1,armadillo,,,,,,3,0.25,,0.1,0.13,4.8,12.2,,0.06,2.39,3.1,,,25.75944837,15.46284551,3.211104949,100.4552988,113.5,2679.268293,1.747284902,16.06521739,0.441825719,52.83913043,5.782608696,16.4826087,14.52173913,8.869565217,0,4.347826087,5167.820605,6,,sabre,spiculate
20,Brumptomyia guimaraesi,Phlebotomini,Brumptomyiina,Brumptomyia,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,,,,,,,,1,armadillo,,,,,,11,,,,,,,,,,,,,21.25823703,19.43481784,11.76714423,343.0889837,367.5555556,2500.5,1.058222189,13.66666667,0.518240301,30.88888889,22.4,17.15555556,6.622222222,22.22222222,0,0,3798.893237,5,,sabre,spiculate
