,species,tribe,subtribe,genus,Argentina,Belize,Bolivia,Brazil,Canada,CaymanIslands,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,French Guiana,Guadeloupe,Guatemala,Grenada,Guyana,Haiti,Honduras,Jamaica,Martinica,Mexico,Nicaragua,Panama,Paraguay,PuertoRico,Peru,Suriname,TrinidadTobago,Uruguay,USA,Venezuela,VirginIslands,act.di,act.noct,act.crep,hs.canopy,hs.floor,b.tsmbf,b.tsdbf,b.tsgss,b.mangrove,b.fgs,b.dxs,b.tscf,b.tgss,b.tcforest,b.tbmforest,b.montane,mh.flfs,mh.ab,mh.bwa,mh.tttr,mh.th,mh.tt,mh.cr,mh.ca,mh.fwsl,mh.ma,mh.ada,mh.oihd,exta,peri,intra,wild,semi.domestic,domestic,bites.man,bites.mammals,order.notes,seas.wint,seas.summ,lifespan,gonotrophic,cl.size,citations,labrum.length,Labrumepipharynx.length,labruml_wingl,A3_wingl,no.lat.teeth,no.ven.teeth,no.cib.teeth,dental.depth,wing.length,wingl_wingw,wing.width,A3,temp,temp.range,temp.var,rainfall,elevation,flii,wind.speed,canopy,ghm,tree.cover,crops.cover,grass.cover,shrub.cover,urban.cover,water.perm.cover,water.seas.cover,evi,ecoregion.breadth,synarthropy,max.shape,hypo.teeth
43,Dampfomyia (Coromyia) steatopyga,Phlebotomini,Lutzomyiina,Dampfomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"bats, rodents",,,,,,0,0.33,,0.12,0.2,10,43.4,4,0.17,2.7,3.2,,,,,,,,,,,,,,,,,,,,,,spear,rough
44,Dampfomyia (Coromyia) vesicifera,Phlebotomini,Lutzomyiina,Dampfomyia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"bats, rodents",,,,,,0,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Dampfomyia (Coromyia) vespertilionis,Phlebotomini,Lutzomyiina,Dampfomyia,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"bats, rodents",,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Dampfomyia (Coromyia) viriosa,Phlebotomini,Lutzomyiina,Dampfomyia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"bats, rodents",,,,,,0,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Dampfomyia (Coromyia) zeledoni,Phlebotomini,Lutzomyiina,Dampfomyia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"bats, rodents",,,,,,0,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Dampfomyia (Dampfomyia) anthophora,Phlebotomini,Lutzomyiina,Dampfomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,man,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Dampfomyia (Dampfomyia) atulapai,Phlebotomini,Lutzomyiina,Dampfomyia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Dampfomyia (Dampfomyia) dodgei,Phlebotomini,Lutzomyiina,Dampfomyia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Dampfomyia (Dampfomyia) insolita,Phlebotomini,Lutzomyiina,Dampfomyia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Dampfomyia (Dampfomyia) leohidalgoi,Phlebotomini,Lutzomyiina,Dampfomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,12,,1.7,3.863636364,0.44,,,,,,,,,,,,,,,,,,,,,,
53,Dampfomyia (Dampfomyia) permira,Phlebotomini,Lutzomyiina,Dampfomyia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.22,,0.14,0.11,6.4,17.6,,0.08,1.54,3.7,,,,,,,,,,,,,,,,,,,,,,spear,spiculate
54,Dampfomyia (Dampfomyia) rosabali,Phlebotomini,Lutzomyiina,Dampfomyia,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Dampfomyia caminoi,Phlebotomini,Lutzomyiina,Dampfomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Dampfomyia delpozoi,Phlebotomini,Lutzomyiina,Dampfomyia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Dampfomyia inusitata,Phlebotomini,Lutzomyiina,Dampfomyia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Evandromyia (Aldamyia) aldafalcaoae,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,1,,,1,,,,,,,,,0,,,,,4,25,4,,1.804,3.429657795,0.526,,25.20027059,19.62930298,5.601947525,125.190037,199.3333333,,0.81175081,4,0.620262762,21.73333333,0,12.46666667,6.133333333,59.66666667,0,0,3561.576812,2,,,
59,Evandromyia (Aldamyia) andersoni,Phlebotomini,Lutzomyiina,Evandromyia,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,25.16809998,16.47538757,0.805764492,161.654003,301.5,0,0.665187824,27.5,0.123080578,48.3,0,40.8,10.9,0,0,0,5090.558696,1,,,
60,Evandromyia (Aldamyia) apurinan,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,1,,0.313,,0.186,6,41,4,,1.798,3.457692308,0.52,,,,,,,,,,,,,,,,,,,,,,
61,Evandromyia (Aldamyia) bacula,Phlebotomini,Lutzomyiina,Evandromyia,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,,1,0,,,,,,,,,,0,,,,,,,,,,,,,25.5201709,15.49869263,1.343990482,148.2469714,363.8,2196.25,0.672717095,11.32,0.416029887,28.296,11.968,23.192,6.16,30.088,0,0,3769.143652,5,,,
62,Evandromyia (Aldamyia) carmelinoi,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,,,,,,,,,3,,,,,,,,,,,,,25.5701269,16.20761269,1.849738629,135.0800899,360.4342105,4299.947368,0.618858939,8.473684211,0.477507505,19.19736842,16.08947368,20.95,6.547368421,34.95263158,1.697368421,0.686842105,3407.474485,6,,,
63,Evandromyia (Aldamyia) dubitans,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Evandromyia (Aldamyia) evandroi,Phlebotomini,Lutzomyiina,Evandromyia,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,,,,0,1,,,,2,0.25,,0.13,0.11,5.8,37,,0.15,1.94,3.3,,,25.52728309,15.83688436,2.018149619,126.9316475,378.1858407,4401.04,0.977198256,7.575221239,0.460815114,23.77168142,14.58230088,25.48141593,9.334513274,24.97522124,1.169911504,0.702654867,3558.709658,10,-39.1,spear,rough
65,Evandromyia (Aldamyia) hashiguchii,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Evandromyia (Aldamyia) lenti,Phlebotomini,Lutzomyiina,Evandromyia,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,,1,1,,,,3,0.24,,0.12,0.12,5,32.5,,0.1,1.94,3.4,,,25.13481585,16.41794622,2.578773514,114.2731211,424.4439252,4138.882353,1.053221149,6.799065421,0.533323268,19.5,10.69252336,25.78878505,10.33925234,30.8635514,2.193457944,0.46635514,3250.346581,15,-14.1,spear,rough
67,Evandromyia (Aldamyia) orcyi,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Evandromyia (Aldamyia) sericea,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,1,,,,,,,,,,,0,,,,,,,,,1.96,3.518850987,0.557,,26.334375,8.003173828,0.381496955,223.6679941,16,,3.136272696,20,0.579045296,19.4,7.2,44.2,12,16.2,0,0,4276.556522,1,,,
69,Evandromyia (Aldamyia) termitophila,Phlebotomini,Lutzomyiina,Evandromyia,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,,,,,,,,,0,,,,,,,,,,,,,25.29574744,16.65834538,2.475189079,130.8143327,372.2047244,3596.392857,0.737093863,7.858267717,0.510947263,22.55905512,11.53070866,24.0503937,7.874015748,31.81417323,1.796850394,0.357480315,3407.966963,7,-33.13,,
70,Evandromyia (Aldamyia) walkeri,Phlebotomini,Lutzomyiina,Evandromyia,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,,,,,,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,,1,1,0,,,,0,1,,,,1,0.265,,0.145,0.14,7,39.25,,0.135,1.86,3.2,,,25.62038023,15.50876575,1.550854999,140.7589888,312.9305556,4175.238095,0.71476359,10.15277778,0.444790933,23.42777778,15.75,23.44722222,6.811111111,27.80833333,1.836111111,0.730555556,3611.544324,10,,spear,spiculate
71,Evandromyia (Aldamyia) williamsi,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Evandromyia (Barrettomyia) bahiensis,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Evandromyia (Barrettomyia) callipyga,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Evandromyia (Barrettomyia) cortelezzii,Phlebotomini,Lutzomyiina,Evandromyia,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,,,,,,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,,1,,,,1,hamster,,,,,,1,,0.292,,,,,,,2.029,4.590497738,0.442,0.235,23.18983443,17.57865609,4.546708367,102.2373982,569,2848.75,1.315418577,6.763888889,0.63214138,16.36388889,7.708333333,24.775,10.51666667,36.91666667,3.327777778,0.202777778,2914.706461,12,,,
75,Evandromyia (Barrettomyia) corumbaensis,Phlebotomini,Lutzomyiina,Evandromyia,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,,1,1,1,,,,,,,,,0,,,,,,,,,,,,,25.70049438,18.86610413,4.645432893,111.8368525,284,,0.722167711,0,0.745000124,31.8,0,6.3,11.9,50,0,0,2909.666304,3,14.58,,
76,Evandromyia (Barrettomyia) costalimai,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Evandromyia (Barrettomyia) monstruosa,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,,,1,,,,,,,,,,,0,0.24,,0.15,0.13,5.2,33.6,4,0.09,1.66,3.2,,,26.42344273,10.38037981,0.974010954,171.5166547,88.14285714,6403,2.690782648,16.85714286,0.264041298,94.51428571,0,3.257142857,1.371428571,0.857142857,0,0.314285714,4628.663975,4,,sabre,rough
78,Evandromyia (Barrettomyia) petropolitana,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Evandromyia (Barrettomyia) sallesi,Phlebotomini,Lutzomyiina,Evandromyia,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,0,1,1,,,,,,,,,0,,,,,,,,,,,,,25.2531715,16.78326939,2.36976612,124.5774701,407.2,3511.8,0.743631531,6.580952381,0.542841046,14.55619048,12.18095238,26.94285714,7.417142857,36.51619048,1.899047619,0.523809524,3246.029441,8,66.67,,
80,Evandromyia (Barrettomyia) spelunca,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,1,,,,,,,,,,,0,,,,,,,4,,2.029,4.590497738,0.442,,25.43346558,16.89763532,2.146654582,62.7447835,637.7142857,3705,1.661732595,7.285714286,0.290272815,29.94285714,7.228571429,27.97142857,27.8,6.714285714,0,0,3514.662733,2,,,
81,Evandromyia (Barrettomyia) teratodes,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,0,,,,,,,4,,,,,,25.41086199,16.96941855,2.501542766,128.1649453,362.2093023,2979.571429,0.687150298,6.395348837,0.537619937,19.87906977,6.809302326,21.78604651,7.479069767,40.60930233,2.981395349,0.934883721,3239.452679,6,-71.43,,
82,Evandromyia (Barrettomyia) tupynambai,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,,1,1,,1,1,0,,,,,,,,0,0.27,,0.15,0.13,8,37,,0.1,1.85,3,,,21.41568909,16.97906494,4.119015064,108.4999628,775.5,7131.5,1.279991039,17.5,0.30836127,87.4,0,6.5,6.1,0,0,0,4160.71087,1,,spear,spiculate
83,Evandromyia (Evandromyia) begonae,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,,1,0,,,,,,,,,,2,,,,,,,4,,,,,,24.48634872,15.40591431,0.964747011,176.2247593,278.125,1577,0.507552029,21.125,0.267107439,58.975,7.25,17.575,7.95,7.75,0,0,4540.153804,2,,,
84,Evandromyia (Evandromyia) bourrouli,Phlebotomini,Lutzomyiina,Evandromyia,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,,,,,1,,,,4,,,,,,,4,,,,,,25.42120361,17.64763184,3.554794661,129.8714876,291.2,,0.808130492,8.4,0.660687265,18.56,1.42,20.84,8.08,51.1,0,0,3243.503478,2,-58.93,,
85,Evandromyia (Evandromyia) brachyphalla,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,0,,,,,,,4,,,,,,26.72017822,10.2953125,1.223855289,177.8672099,45.8,4450.333333,2.322021761,7.6,0.524848723,87.2,0,7.6,3.2,2,0,0,2762.061643,3,,,
86,Evandromyia (Evandromyia) correalimai,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Evandromyia (Evandromyia) gaucha,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,2,,,,,5,,4,,2.081,3.62543554,0.574,,,,,,,,,,,,,,,,,,,,,,
88,Evandromyia (Evandromyia) georgii,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,2,,,,,,,4,,1.51,3.081632653,0.49,,,,,,,,,,,,,,,,,,,,,,
89,Evandromyia (Evandromyia) grimaldii,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,3,,,,,,,4,,2.289,3.114285714,0.735,0.287,,,,,,,,,,,,,,,,,,,,,
90,Evandromyia (Evandromyia) infraspinosa,Phlebotomini,Lutzomyiina,Evandromyia,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,,,1,,,,,,,,,,,5,0.24,,0.15,0.14,8,43.5,4,0.13,1.59,3.1,,,26.61081848,10.60421753,0.808987689,187.6627021,66.6875,7055.583333,2.210590888,14.9375,0.360146556,66.925,0.8125,7.025,1.4625,23.7375,0,0,4201.854076,7,,,
91,Evandromyia (Evandromyia) inpai,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,0,1,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,0,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Evandromyia (Evandromyia) ledezmaae,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Evandromyia (Evandromyia) pinottii,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,,,1,,,,,,,,,,,0,,,,,,,4,,,,,,26.96264038,4.674865723,0.183847889,170.465976,29,6787,4.685279798,10,0.424107879,100,0,0,0,0,0,0,5180.856522,1,,,
94,Evandromyia (Evandromyia) rupicola,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,1,,1,1,,,,,,,,,,5,,0.2606,,,4.5,35,,,2.075,3.062730627,0.6775,0.31,,,,,,,,,,,,,,,,,,,,,
95,Evandromyia (Evandromyia) saulensis,Phlebotomini,Lutzomyiina,Evandromyia,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,,,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,,1,1,,1,,,,,,,,3,,,,,,,4,,,,,,25.59692165,15.63456857,1.422717136,147.3054673,334.6714286,3200.789474,0.602690632,11.17142857,0.429966004,27.71714286,8.2,25.46571429,7.194285714,30.10571429,0.46,1.134285714,3621.456957,8,,sabre,rough
96,Evandromyia (Evandromyia) sipani,Phlebotomini,Lutzomyiina,Evandromyia,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Evandromyia (Evandromyia) tarapacaensis,Phlebotomini,Lutzomyiina,Evandromyia,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,1,,,,,,,4,,1.64,3.037037037,0.54,,,,,,,,,,,,,,,,,,,,,,
