species,hs.canopy,hs.floor,b.tsmbf,b.tsdbf,b.tsgss,b.mangrove,b.fgs,b.dxs,b.tscf,b.tgss,b.tcforest,b.tbmforest,b.montane,mh.flfs,mh.ab,mh.bwa,mh.tttr,mh.th,mh.tt,mh.cr,mh.ca,mh.fwsl,mh.ma,mh.ada,mh.oihd,wild,semi.domestic,domestic,bites.man,bites.mammals,A3_wingl,no.lat.teeth,wing.length,wingl_wingw,temp,temp.range,flii,canopy,ghm,evi,tribe_Phlebotomini,subtribe_Lutzomyiina,subtribe_Psychodopygina,genus_Bichromomyia,genus_Brumptomyia,genus_Dampfomyia,genus_Deanemyia,genus_Evandromyia,genus_Expapillata,genus_Hertigia,genus_Lutzomyia,genus_Martinsmyia,genus_Micropygomyia,genus_Migonemyia,genus_Nyssomyia,genus_Oligodontomyia,genus_Pintomyia,genus_Pressatia,genus_Psathyromyia,genus_Psychodopygus,genus_Sciopemyia,genus_Trichophoromyia,genus_Trichopygomyia,genus_Viannamyia,genus_Warileya,maxshape_spear,hypoteeth_rough,hypoteeth_smooth,hypoteeth_spiculate,log.citations,log.labrum.length,log.no.ven.teeth,log.no.cib.teeth,log.rainfall,log.wind.speed,log.tree.cover,log.crops.cover,log.grass.cover,log.urban.cover,log.water.perm.cover,log.water.seas.cover,log.ecoregion.breadth,leish
Sciopemyia preclara,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,23.35272369,15.11817169,1223.0,23.75,0.2038556,4326.401087,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0009995003330834,,,,5.06531667410086,-0.443749250700607,3.91004104263683,2.557304827743,3.1549131379063,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.693647055601596,0.0
Sciopemyia servulolimai,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,1.94,3.403508772,26.57782898,11.29396057,6787.0,5.0,0.327435419,4645.102174,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.693647055601596,,,1.3865443298751,5.0004467547537,0.981052188284811,4.37953603570557,-6.90775527898214,2.3979861777573,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.693647055601596,0.0
Sciopemyia sordellii,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,,,,25.40251777,16.41126865,3851.62069,8.691729323,0.486578576,3542.133508,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.94449160936039,,,,4.90956242075617,-0.293929677489524,3.12845182334828,2.56918156900659,3.20150262296691,3.4265702444559,-0.0295062472625815,-0.859068619090805,2.19733568227495,0.0
Sciopemyia vattierae,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,25.32491455,17.17248535,,36.0,0.053757805,5208.03913,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.693647055601596,,,,5.16430194422861,-0.424714657580085,4.60518018593809,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.0009995003330834,0.0
Trichopygomyia conviti,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0009995003330834,,,1.3865443298751,,,,,,,,,,0.0
Trichopygomyia dasypodogeton,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.11,2.0,1.98,3.3,25.64271698,15.09980447,3474.333333,9.964285714,0.435914638,3501.463509,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-6.90775527898214,-1.65548185093551,2.83327216585559,1.3865443298751,4.99346739680866,-0.464623192191941,2.87442786632737,3.17928521479949,2.98573244147566,3.35018976085199,1.52160541929358,-0.474126402608555,1.3865443298751,0.0
Trichopygomyia depaquiti,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,,,26.65670166,13.46420288,2625.0,0.0,0.457289308,4032.447826,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0009995003330834,,,,5.099760152665,0.648062356306934,4.39198934168809,-6.90775527898214,2.43370107085158,1.09894556645823,-6.90775527898214,-6.90775527898214,0.0009995003330834,0.0
Trichopygomyia elegans,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.0,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-6.90775527898214,,,1.3865443298751,,,,,,,,,,0.0
Trichopygomyia ferroae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-6.90775527898214,,,1.3865443298751,,,,,,,,,,0.0
Trichopygomyia gantieri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.02,3.15625,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-6.90775527898214,,,1.3865443298751,,,,,,,,,,0.0
Trichopygomyia longispina,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.12,3.6,1.92,3.0,23.12099609,14.76287842,7582.0,7.0,0.479856019,2905.606441,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.693647055601596,-1.65548185093551,2.86795571861183,1.3865443298751,5.00758101319209,0.533625884841776,3.72088671274892,3.28094880906598,2.8792546354953,1.5042995943108,-6.90775527898214,-6.90775527898214,1.09894556645823,0.0
Trichopygomyia martinezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-6.90775527898214,,,1.3865443298751,,,,,,,,,,0.0
Trichopygomyia pinna,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-6.90775527898214,,,1.3865443298751,,,,,,,,,,0.0
Trichopygomyia ratcliffei,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-6.90775527898214,,,1.3865443298751,,,,,,,,,,0.0
Trichopygomyia rondoniensis,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-6.90775527898214,,,1.3865443298751,,,,,,,,,,0.0
Trichopygomyia trichopyga,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,1.0,0.11,5.0,1.75,3.1,26.65670166,13.46420288,2625.0,0.0,0.457289308,4032.447826,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0009995003330834,-1.70925824771631,2.77265122028674,1.3865443298751,5.099760152665,0.648062356306934,4.39198934168809,-6.90775527898214,2.43370107085158,1.09894556645823,-6.90775527898214,-6.90775527898214,0.0009995003330834,0.0
Trichopygomyia triramula,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,,0.11,2.8,2.16,3.1,24.83247274,8.968699137,3289.5,15.33333333,0.257920194,4198.538694,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0009995003330834,-1.60445037092306,3.05404835037683,1.3865443298751,5.73575441504,0.107625473403383,4.36946051061476,-6.90775527898214,2.27222897297915,-6.90775527898214,-6.90775527898214,-6.90775527898214,1.09894556645823,0.0
Trichopygomyia turelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-6.90775527898214,,,,,,,,,,,,,0.0
Trichopygomyia wagleyi,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-6.90775527898214,,,1.3865443298751,,,,,,,,,,0.0
Trichopygomyia witoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0009995003330834,,,1.3865443298751,,,,,,,,,,0.0
Bichromomyia flaviscutellata,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.14,10.6,2.26,3.6,26.01308432,13.00697049,4796.627451,14.28389831,0.407848735,3816.797888,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17809549614658,-1.30563645810244,3.14419538119161,1.87195601122233,5.13751013537612,0.262781226757401,3.73011685162242,1.43734640293338,3.02500906953065,3.11946166078896,1.20486814808606,-0.426308488980511,3.73769342752374,1.0
Bichromomyia inornata,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,26.09310303,15.2585144,,0.0,0.733276308,2598.978261,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.90775527898214,,,,5.10860117410203,-0.94382718384524,-6.90775527898214,-6.90775527898214,-6.90775527898214,4.60518018593809,-6.90775527898214,-6.90775527898214,0.0009995003330834,0.0
Bichromomyia olmeca bicolor,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009995003330834,,,,,,,,,,,,,0.0
Bichromomyia olmeca nociva,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,,,,,,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09894556645823,,,,,,,,,,,,,1.0
Bichromomyia olmeca olmeca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79192612200738,,,,,,,,,,,,,1.0
Bichromomyia reducta,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,25.32491455,17.17248535,,36.0,0.053757805,5208.03913,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009995003330834,,,,5.16430194422861,-0.424714657580085,4.60518018593809,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.0009995003330834,1.0
Martinsmyia alphabetica,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,0.15,10.0,2.87,3.1,,,,,,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0009995003330834,-0.731888008876376,3.13553769324487,,,,,,,,,,,0.0
Martinsmyia brisolai,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1.0,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30268508799438,,,,,,,,,,,,,0.0
Martinsmyia cipoensis,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.90775527898214,,,1.3865443298751,,,,,,,,,,0.0
Martinsmyia gasparviannai,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.90775527898214,,,0.693647055601596,,,,,,,,,,0.0
Martinsmyia minasensis,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,2.274,3.777408638,24.10158691,17.0814209,9592.0,13.0,0.057822712,3592.795652,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09894556645823,,,0.693647055601596,4.26354550424979,0.529991755600728,3.32507199127266,0.470628434014578,3.28843920025352,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.0009995003330834,0.0
Martinsmyia mollinedoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30268508799438,,,,,,,,,,,,,0.0
Martinsmyia oliveirai,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,26.19301758,17.91305542,,0.0,0.230762959,4109.347826,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3865443298751,,,,4.84017891011053,-0.433490182047496,4.08767235245404,-6.90775527898214,3.09108790687074,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.0009995003330834,0.0
Martinsmyia pisuquia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30268508799438,,,,,,,,,,,,,0.0
Martinsmyia quadrispinosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.90775527898214,,,,,,,,,,,,,0.0
Martinsmyia reginae,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,9.0,2.348,3.78099839,,,,,,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009995003330834,,,1.3865443298751,,,,,,,,,,0.0
Martinsmyia waltoni,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2.28,3.454545455,,,,,,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.90775527898214,-1.01887732064926,,2.07956653386799,,,,,,,,,,0.0
Nyssomyia anduzei,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,0.12,9.7,1.9,3.6,26.84555461,11.55822245,9678.0,11.5,0.611600842,2884.98587,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.60963789243677,-1.46533756846034,2.63912875563579,,5.24909492908697,0.443954237052299,3.04377612739838,1.14771986277514,2.92589976395531,3.98405215159105,-6.90775527898214,-0.181122276617993,1.79192612200738,1.0
Nyssomyia antunesi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,0.12,10.6,1.68,3.4,25.63713701,14.94412548,3839.96875,11.71698113,0.450271735,3658.206891,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.94449160936039,-1.13631415585212,3.00573210813232,,5.0170746329806,-0.298142470820603,3.25471856022712,2.56342860786165,3.04060913023778,3.49682369209799,0.197194678198918,-0.706328007250361,2.3979861777573,0.0
Nyssomyia bibinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009995003330834,,,,,,,,,,,,,0.0
Nyssomyia delsionatali,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,20.0,1.195,2.172727273,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009995003330834,,3.09108790687074,2.07956653386799,,,,,,,,,,0.0
Nyssomyia edentula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.90775527898214,,,,,,,,,,,,,0.0
Nyssomyia elongata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.90775527898214,,,,,,,,,,,,,0.0
Nyssomyia fraihai,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,1.9244,3.271676301,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009995003330834,,,2.30268508799438,,,,,,,,,,0.0
Nyssomyia hernandezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.90775527898214,,,,,,,,,,,,,0.0
Nyssomyia intermedia,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14,9.8,2.14,3.5,22.84470042,16.59255696,4789.773109,8.234939759,0.54831108,3523.186781,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4.00735136688537,-1.30563645810244,3.08195584030261,2.07956653386799,4.73917688038883,0.0807211685438239,3.30874756824001,1.89297136098379,3.28956581735029,3.21775507626404,1.24586047845591,-0.147767770669413,2.89042731190857,1.0
Nyssomyia neivai,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.226,20.0,1.321,2.086887836,21.80588255,20.5372866,3792.859155,7.562091503,0.582716053,3309.647258,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30407860662638,,,2.30268508799438,4.84272582169329,0.0026009256584883,3.17299010547253,2.57418411171107,3.1633086703269,3.31443624063362,0.734292260162594,-0.657792654562876,2.56502627758003,1.0
Nyssomyia pajoti,1.0,1.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009995003330834,,,,,,,,,,,,,0.0
Nyssomyia richardwardi,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,24.45438232,10.48197632,4005.0,17.0,0.31845711,4576.334783,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09894556645823,,,,5.17973938094015,0.78995169646953,4.32388096895525,2.3341806545838,1.76490201505817,-6.90775527898214,-6.90775527898214,-6.90775527898214,1.09894556645823,0.0
Nyssomyia shawi,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1.0,,,,,,24.42432726,15.78303019,1325.8,28.33333333,0.140843853,4841.122222,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19733568227495,,,,5.17361222259647,-0.556439408723402,4.24245960388973,1.74647149848866,2.7401874813882,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.693647055601596,1.0
Nyssomyia sylvicola,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,26.334375,8.003173828,,20.0,0.579045296,4276.556522,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.90775527898214,,,,5.41016725406165,1.14335385434342,2.96532461113257,1.97421990526673,3.78874741326211,2.78507296872828,-6.90775527898214,-6.90775527898214,0.0009995003330834,0.0
Nyssomyia trapidoi,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1.0,,1.0,,0.11,8.0,1.9,3.8,25.43288574,9.029876709,2066.0,21.5,0.386450291,3820.68913,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.94605299599506,-1.26940060964839,2.94449160936039,,5.36856690017094,0.312512634063334,3.62968661930112,-0.509160344446929,3.15277875649327,3.13553769324487,-6.90775527898214,-6.90775527898214,0.693647055601596,1.0
Nyssomyia umbratilis,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,26.2187221,13.32173375,2004.25,8.142857143,0.56357238,3355.131988,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89042731190857,,,,5.25230639033059,-0.107788117678424,3.42149941723979,-0.691149177897272,2.81289915753593,3.50085739448341,2.65933003478287,-6.90775527898214,1.79192612200738,1.0
Nyssomyia urbinatti,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,22.0,1.76,3.555555556,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.90775527898214,,3.04457005563729,2.07956653386799,,,,,,,,,,0.0
Nyssomyia whitmani,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12,10.0,1.85,3.7,24.98477071,16.92901226,3210.681818,7.621621622,0.51711034,3386.802859,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4.7957988100254,-0.991553216374702,3.09108790687074,,4.82352593404225,-0.199438525007163,3.01031506539775,2.45101364117928,3.30540423244688,3.42570276501891,0.0458773030484908,-0.891576146354458,2.70811686554675,1.0
Nyssomyia ylephiletor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,10.4,1.95,3.4,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-6.90775527898214,-1.01887732064926,2.98573244147566,,,,,,,,,,,0.0
Nyssomyia yuilli,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,,,,,0.12,10.2,1.64,3.6,25.14731028,14.34904239,5089.083333,20.42105263,0.29455354,4358.842334,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.07956653386799,-1.26940060964839,2.91240501096424,,5.23401214352768,-0.712111622191895,4.04306881154031,0.999450842716314,2.8528915178183,2.75940682655097,-6.90775527898214,-6.90775527898214,2.07956653386799,1.0
